impl,workload,thread_count,copy_bytes,iter,e2e_ns,pause_p50_ns,pause_p99_ns,dispatch_p50_ns,dispatch_p99_ns,ok_count,truncated_count,timed_out_count,unregistered_count,error_count
kill60,idle,128,8192,82,10191546,38081,83426,68108,2258078,128,0,0,0,0
kill60,idle,128,8192,83,5689124,92744,221084,12764,409828,128,0,0,0,0
kill60,idle,128,8192,84,5354117,89217,231975,13546,247975,128,0,0,0,0
kill60,idle,128,8192,85,6654252,101089,209092,31449,267310,128,0,0,0,0
kill60,idle,128,8192,86,5724450,95659,288771,13545,241092,128,0,0,0,0
kill60,idle,128,8192,87,5687380,113783,360835,23013,236423,128,0,0,0,0
kill60,idle,128,8192,88,5683343,134882,311053,12182,170520,128,0,0,0,0
kill60,idle,128,8192,89,6269842,106610,223528,51055,371656,128,0,0,0,0
kill60,idle,128,8192,90,7883935,98634,215674,52368,315160,128,0,0,0,0
kill60,idle,128,8192,91,7347249,68618,425016,31870,1821020,128,0,0,0,0
kill60,idle,128,8192,92,6118899,97973,384110,15209,207628,128,0,0,0,0
kill60,idle,128,8192,93,5710554,67937,287428,30698,422111,128,0,0,0,0
kill60,idle,128,8192,94,5755368,75672,113823,11913,184265,128,0,0,0,0
kill60,idle,128,8192,95,6011708,124282,247925,13796,201728,128,0,0,0,0
kill60,idle,128,8192,96,5752282,94497,162154,12072,168586,128,0,0,0,0
kill60,idle,128,8192,97,6024643,115255,354584,13485,235702,128,0,0,0,0
kill60,idle,128,8192,98,5839596,102182,249608,11461,158377,128,0,0,0,0
kill60,idle,128,8192,99,5732466,145303,360485,13035,307656,128,0,0,0,0
kill60,spin,4,8192,0,180278,3797,4779,2815,3417,4,0,0,0,0
kill60,spin,4,8192,1,235822,3847,5440,2645,2836,4,0,0,0,0
kill60,spin,4,8192,2,202560,3226,4468,2986,2995,4,0,0,0,0
kill60,spin,4,8192,3,182171,2865,4398,2565,2725,4,0,0,0,0
kill60,spin,4,8192,4,243837,2755,3867,2505,2605,4,0,0,0,0
kill60,spin,4,8192,5,188863,3437,5140,3346,3486,4,0,0,0,0
kill60,spin,4,8192,6,179706,2625,3436,2375,2454,4,0,0,0,0
kill60,spin,4,8192,7,179226,4218,5991,2635,3115,4,0,0,0,0
kill60,spin,4,8192,8,177953,2795,3847,2354,2625,4,0,0,0,0
kill60,spin,4,8192,9,187040,3727,4358,2324,2795,4,0,0,0,0
kill60,spin,4,8192,10,179316,3116,4759,2374,3085,4,0,0,0,0
kill60,spin,4,8192,11,177933,2394,3647,2455,2725,4,0,0,0,0
kill60,spin,4,8192,12,178214,3226,4398,2474,2695,4,0,0,0,0
kill60,spin,4,8192,13,178685,2975,4608,2405,2495,4,0,0,0,0
kill60,spin,4,8192,14,178965,3987,4539,2304,2926,4,0,0,0,0
kill60,spin,4,8192,15,179436,3095,4058,2474,2485,4,0,0,0,0
kill60,spin,4,8192,16,182171,3316,4358,2415,2785,4,0,0,0,0
kill60,spin,4,8192,17,179887,3186,4649,2765,2836,4,0,0,0,0
kill60,spin,4,8192,18,178414,2966,3316,2525,2595,4,0,0,0,0
kill60,spin,4,8192,19,178254,2625,3887,2334,2445,4,0,0,0,0
